"","train_fit","Actual"
"1",91.3813826941141,94
"2",90.9460859530468,93
"3",87.559866991717,92
"4",89.1517566872039,92
"6",87.6958310637382,90
"7",87.6929280022009,90
"9",87.9257054267981,90
"10",87.1917205072085,89
"12",87.8553728277955,89
"14",84.5269115577307,89
"15",85.9515349958631,89
"17",85.3183402074646,89
"18",86.8744623474212,89
"19",86.4046324290985,88
"22",88.0556287347139,88
"23",87.6299546826443,88
"25",87.2919316199562,88
"26",85.3577633148767,88
"27",82.9944029358522,88
"28",86.5097233521825,88
"29",84.7071925589884,88
"30",85.6801162026646,88
"33",87.3701424098095,88
"35",86.0435062162077,87
"38",86.2156627340491,87
"39",85.1245606480642,87
"40",85.2005871936429,87
"41",85.5236585538481,87
"42",84.8690719255006,87
"43",86.5335858008043,87
"44",86.8661918385989,86
"45",83.8930791815586,86
"46",84.2588356164147,86
"47",84.4947639184889,86
"48",84.6596119563031,86
"49",84.6730095337358,86
"51",85.7196117554117,86
"52",83.2147741402045,86
"54",85.2945191409789,86
"56",85.1304216197792,86
"57",85.2882389472626,86
"60",86.7021863263557,86
"62",84.276660831826,86
"63",85.6505551231059,86
"64",84.9050658793091,86
"66",84.0012480622358,85
"70",83.997111858095,85
"72",84.4813631069147,85
"74",85.7096155369746,85
"75",84.1644107647929,85
"76",83.1659269753112,85
"77",84.8475077605044,85
"78",84.2888142366803,85
"79",84.2899667093586,85
"80",85.0969767458753,85
"81",83.8148896745197,85
"82",84.8646549030304,85
"83",84.6882113514955,85
"85",83.5529476590675,85
"86",82.9896398878287,84
"90",83.2902271082156,84
"91",82.1414706785038,84
"92",84.0157510172926,84
"93",84.2080481227214,84
"94",83.6908036844733,84
"95",79.8348955791884,84
"96",82.855514350281,84
"98",83.1002169756273,84
"99",83.3950798695372,84
"100",83.1073596913514,84
"101",81.0131862359505,84
"102",83.2903517785359,84
"103",83.7647119628324,84
"105",83.6959000083979,84
"108",83.9106117568237,84
"109",83.3214299830542,84
"110",83.3031246808909,84
"112",83.8598545756483,84
"113",83.325312095185,84
"115",82.6646199014334,84
"116",84.2402531010039,84
"117",84.1551535973874,84
"119",83.2920379392493,84
"120",83.3291789488663,83
"121",83.345993974326,83
"122",83.7069113534383,83
"123",82.8703714843488,83
"124",82.4857830354821,83
"125",82.2903894799667,83
"127",82.0712659807602,83
"128",81.3342631816283,83
"129",83.1928627823855,83
"131",82.4310204780698,83
"135",82.2923216511924,83
"140",82.5022540161369,83
"141",81.8885659075957,83
"142",82.1721451207592,83
"143",82.828575529719,83
"144",82.2930921411193,83
"147",83.7066975611852,83
"148",82.2831717696857,83
"149",82.3044613431492,83
"150",83.8137358198085,83
"153",82.2925663410723,83
"154",82.5789535190785,83
"155",83.8738644348006,83
"156",81.9614332995581,83
"157",82.0282643534634,83
"158",82.2767230087423,83
"159",84.7059820087564,83
"160",83.0471946847254,83
"161",83.7107057220947,83
"162",80.9671803845119,83
"163",82.4570848442967,83
"165",83.2482550713065,83
"166",82.6673495476186,83
"167",83.0777597576538,83
"169",82.2909916618211,83
"170",81.5456677219967,83
"171",82.2893543603363,83
"172",80.8022655589692,83
"173",80.213708686428,83
"177",82.4825797077477,83
"178",81.9377128212394,83
"179",82.3254505496409,83
"181",82.8633564044209,83
"183",82.2898348934883,83
"185",80.8197544074012,83
"186",81.0723133992843,83
"187",83.2172108091286,83
"188",81.5725785516478,83
"189",83.707337304695,83
"192",82.2890005482496,83
"193",82.7077086691662,82
"194",83.1468387026728,83
"196",80.1409003519501,82
"197",82.7079829119788,82
"198",80.8399336000219,82
"199",81.2919906223688,82
"200",81.4150515392601,82
"201",81.9177454386571,82
"203",81.5732714186242,82
"204",82.1287858810338,82
"205",80.9331357621789,82
"207",80.5279951495437,82
"208",81.847747697763,82
"209",82.4571921981466,82
"210",82.090957361443,82
"211",81.2901939175282,82
"212",80.8622236526479,82
"213",81.2930878912187,82
"215",81.5290839402829,82
"217",81.0020827599958,82
"218",81.2905729479644,82
"221",81.743628175549,82
"225",81.292263405697,82
"226",81.5934717890493,82
"227",82.7102857207197,82
"228",81.8200212781237,82
"231",80.6576300522185,82
"232",81.28998383589,82
"233",81.3551796243605,82
"234",79.5843166335443,82
"235",81.297075030726,82
"236",82.0820473748423,82
"237",81.1158737326295,82
"239",82.6765037716469,82
"241",81.2889317858831,82
"242",81.718088979362,82
"243",81.2903977660203,82
"244",82.5883842337744,82
"245",81.2647982885042,82
"246",80.2902465561841,81
"248",80.8606258917417,82
"252",81.0001264951037,82
"253",81.2367200626808,82
"254",81.6892046854113,82
"255",82.3223923420137,82
"256",81.838170954223,82
"258",81.058626805046,82
"259",81.2900736143359,82
"260",81.2904461578375,82
"264",81.9263130133926,82
"266",81.2926579686009,82
"267",82.3952589352383,82
"268",81.8423387111853,82
"269",81.0587779465908,82
"270",82.2107753812769,82
"271",82.817011563517,82
"273",81.2885431026065,82
"274",81.4794178636146,82
"275",84.299415511505,82
"279",80.1383175576748,82
"280",80.6673751488448,82
"281",81.3585104173838,82
"283",80.0250494994164,82
"284",80.8978926699262,82
"285",81.2893988303607,82
"286",81.7483320236653,82
"287",78.6761216657171,82
"288",81.2896134844512,82
"289",80.2908258910071,81
"290",81.7075034955934,81
"291",80.8924528962415,81
"292",82.0535219714075,81
"297",80.4880444821799,81
"298",81.4762438387633,81
"301",81.1314388639798,81
"304",80.6201397013217,81
"305",80.8598675772904,81
"306",81.6361321177126,81
"308",80.289922377213,81
"309",81.3230402563443,81
"310",80.5992106575391,81
"311",81.3112287667263,81
"312",81.0691795843091,81
"314",82.2207852009021,81
"315",80.2511855617826,81
"318",81.7058670629324,81
"319",80.8622757024732,81
"322",80.9712910111525,81
"323",81.9204756799017,81
"324",81.7093256153903,81
"325",81.7101690590623,81
"326",81.6544770764866,81
"328",81.0202416575276,81
"329",81.0098168685312,81
"331",79.9845243700178,81
"332",80.4305282954923,81
"335",80.0469112345351,81
"336",81.5098442840141,81
"337",77.3977378600613,81
"338",80.2674839864881,81
"339",81.8482100718552,81
"341",80.2243596943372,81
"342",81.2482630746172,81
"343",80.3510728923304,81
"344",80.4984759387604,81
"345",81.7057513545939,81
"346",80.2936625325453,81
"348",79.9395365459922,81
"349",80.0909138025544,81
"350",81.5537089012852,81
"351",81.2632366424025,81
"353",80.6112220508233,81
"354",79.9642545428188,81
"355",80.9581103967575,81
"357",81.2625254499555,81
"358",81.4653855772765,81
"359",80.8208786615202,81
"361",80.6127459551192,81
"362",80.1914483851756,81
"364",80.8141282865686,81
"365",80.5968867370025,81
"367",80.1987398116016,81
"368",81.545303338911,81
"369",80.4133565742769,81
"370",80.2934148056716,81
"371",80.031617354707,81
"372",80.7770938004653,81
"374",80.2900716279048,81
"375",80.2889647490807,81
"378",80.9720239141669,81
"379",80.306636658329,81
"381",80.2925422108397,81
"383",79.7937307128718,81
"385",81.0587535799489,81
"387",81.6269778723047,81
"388",79.1765978876835,81
"389",80.7094022399854,80
"391",80.4869860025229,81
"393",79.2890041551154,80
"394",79.2093533801867,80
"395",80.7098890110157,80
"396",79.5915949997217,80
"397",80.3260087581903,80
"400",79.2909503474723,80
"402",80.0781580186634,80
"403",79.293845112676,80
"404",79.4280135752219,80
"406",79.7335182425715,80
"407",79.2898101574203,80
"408",78.9228850977157,81
"409",80.1954377577616,80
"410",79.3703104960138,80
"412",80.0493687810112,80
"413",80.6110233108778,80
"414",79.3739174245021,80
"415",79.8927517601917,80
"417",80.7104839557416,80
"418",81.9438159332744,80
"419",79.8768038356533,80
"420",80.3542515693215,80
"421",78.9667600974853,80
"422",82.4599551128578,80
"423",79.28895966118,80
"425",79.4390686025079,80
"426",80.9017155111082,80
"427",80.7091663012787,80
"428",79.7839832495288,80
"431",80.31033680163,80
"432",80.7065623608493,80
"434",81.76318953492,80
"435",79.4068680933068,80
"436",80.2573489549733,80
