"","train_fit",""
"429",74.0667550915012,80
"430",77.3384274535564,80
"431",75.4287435520401,80
"432",76.2947457744628,80
"433",81.1937656468517,80
"435",78.9348799258127,80
"436",77.8125132851492,80
"438",75.7485333321943,80
"439",79.6128891280703,80
"444",77.212134930552,80
"445",75.1898617756865,80
"446",78.4261697808105,80
"447",78.1395076859839,80
"448",77.7279190553358,80
"450",78.1238809104631,80
"451",78.5113053266263,80
"452",79.3556323251775,80
"453",78.2950729145867,80
"454",77.3380423647607,80
"455",78.6050369698858,80
"457",78.3178612147315,80
"459",75.2708284026927,80
"460",76.006910768835,80
"461",74.0933273024767,80
"463",77.8214309076533,80
"465",75.46154579326,80
"466",77.2250121313474,80
"468",76.9153414737505,80
"469",76.3852890225558,80
"470",80.6803114723407,80
"472",79.1180810135189,80
"473",78.0155554292747,80
"477",77.8078486519919,80
"478",79.6973120703294,80
"480",78.2673434623841,80
"481",78.2397130007336,80
"482",81.410646935398,80
"483",76.1485188432701,80
"484",74.7068939145212,80
"485",76.9950440728146,80
"488",80.2586243198778,80
"489",78.0555633173781,80
"492",77.7513634212016,80
"493",80.0883798192604,80
"495",83.0402369531231,80
"497",76.6644143596938,80
"499",73.2671091906301,80
"503",80.1968395905443,80
"507",77.5689834867167,80
"508",81.9422269341685,80
"509",77.8708987881558,80
"511",76.2938717226164,80
"512",78.0583875686915,80
"514",77.4636976341188,80
"515",80.5113169761605,80
"516",79.9500263844208,80
"517",82.5785417097164,80
"518",76.9607414001041,80
"521",82.0127025451102,82
"522",77.7982694904101,80
"526",76.2310780867608,80
"527",77.8935789909991,80
"530",77.3957578574739,79
"531",77.8318377641146,79
"532",79.775408153481,79
"533",78.7196915163133,79
"535",76.2345715718031,79
"536",75.0595651335484,79
"537",77.2134524440278,79
"538",72.4531950327743,79
"540",75.1809531918944,79
"542",78.8144597251467,79
"543",78.4738544382743,79
"544",74.8918142827189,79
"545",78.004592460318,79
"546",73.5017959214765,79
"547",78.3979085293962,79
"549",77.5108232685597,79
"550",78.8336961292476,79
"551",75.192972828274,79
"552",77.2621819420955,79
"555",75.1899010342148,79
"556",75.7922689346604,79
"558",75.4422670038681,79
"559",76.8454815550545,79
"560",79.2028399295697,79
"561",79.0198141734303,79
"562",78.6094693056131,79
"564",75.627622162459,79
"565",77.7152958597815,79
"566",75.0326324284525,79
"568",75.7941639041309,79
"572",77.4462670645726,79
"574",78.4305824046309,80
"575",75.1289394668248,79
"577",73.7268293890315,79
"578",75.2007656405267,79
"579",75.9909424037175,79
"581",80.2371754179792,79
"582",75.3868042632664,79
"583",74.2938080390782,79
"587",75.6929938593702,79
"588",73.9679055974633,79
"592",78.1132282054,79
"593",76.8790581019681,79
"594",77.3813886790205,79
"595",79.3295250642192,79
"596",73.9227707390412,79
"597",77.8927234702413,79
"599",77.7630707432839,79
"602",80.2858483700332,79
"605",75.4894316970856,79
"607",75.188835929212,79
"608",77.6218931233712,79
"609",76.3566273584439,79
"611",76.1462653047208,79
"612",76.7942892607224,79
"614",77.1441480715852,79
"616",80.448035115987,79
"619",79.3185035353974,79
"620",78.8992438849966,79
"621",75.620666378726,79
"622",75.1517439894707,79
"626",76.3313989688304,79
"627",77.5698092454289,79
"629",74.8470046821898,79
"632",75.4254194147761,79
"633",73.5742302125518,79
"635",80.1838005016247,79
"637",76.9207055132601,79
"639",78.7393421482725,79
"640",79.9155596312557,79
"641",78.2053082214349,79
"642",73.7277373478935,79
"643",76.1358284689866,79
"644",77.4224920115919,79
"645",81.642129949458,79
"647",76.3338990760759,79
"648",76.17921805319,79
"649",78.0806023539448,79
"651",79.8444310675687,79
"653",80.1488218684548,79
"654",77.6189912750012,79
"656",77.336775629071,79
"659",77.812696258204,79
"660",74.9038373784124,79
"661",74.5584478068259,78
"662",76.1618187193831,79
"663",79.5497271836456,79
"664",79.2902098911409,79
"665",78.0542667914752,79
"668",77.3331876200921,79
"672",80.5538458419772,79
"674",76.0104286927897,79
"677",78.1696290403222,79
"679",74.8229518844733,79
"681",75.1001877777403,79
"683",78.1119434542527,79
"684",80.6154026927132,79
"686",76.8795815131812,79
"689",79.0971225723437,79
"695",78.8276317137348,79
"699",77.4469766716916,79
"700",78.3717091644898,79
"701",77.7880432003205,79
"702",77.1180784561032,79
"704",78.0641825671371,79
"705",76.1219456879812,79
"706",77.7258941608585,79
"708",76.9992491847233,78
"709",78.514948142384,78
"710",79.4671904211631,78
"711",73.3945621117324,78
"713",75.7062107862613,78
"716",73.7554674141772,78
"719",78.5130673456124,78
"720",74.0170165762085,78
"722",72.8476773741483,78
"723",71.387653410876,78
"724",73.5512252667608,78
"725",74.8190858220996,78
"726",76.7189927386793,78
"730",74.6571086951098,78
"732",73.3564699534381,78
"733",78.6505895420185,78
"734",76.2337034185291,78
"736",74.4023734940288,78
"737",72.8299278989416,77
"738",78.0498472280942,78
"739",77.3715009891446,78
"741",77.9532482204874,78
"742",76.993045879754,78
"744",75.9787614813959,79
"745",74.3485260654523,78
"746",74.3632719490165,78
"748",76.698945380798,78
"749",77.9097440018683,78
"750",76.5507186490853,78
"752",78.3035201658035,78
"753",75.5902385130803,78
"754",75.2358644130637,78
"757",73.3768159491742,78
"759",77.4801315849368,78
"761",75.7094241386856,78
"762",78.6647979058416,78
"763",76.4691068170087,78
"764",76.4470792698446,78
"766",78.8822543730881,78
"774",75.1780339703716,78
"779",79.4342366405943,78
"780",77.5861692804612,78
"781",75.6747017968491,78
"782",76.6613519507053,78
"784",76.0692580088778,78
"785",76.6340766982637,78
"788",77.8923210417872,78
"789",78.8291569785106,78
"790",74.5220249469913,78
"791",75.0553255844831,78
"793",75.2026629442426,78
"795",74.5360377944475,78
"796",77.436051834372,78
"798",79.2618176382107,79
"801",76.2063582217132,77
"802",75.2868573678241,78
"805",73.434651445156,78
"806",75.9915253032399,78
"807",77.9444616738034,78
"808",77.1164034907714,78
"809",77.6056150980071,78
"810",76.8918537441265,78
"813",80.2952180016327,78
"814",74.3189028887691,78
"815",74.7885985264297,78
"818",76.3134730367596,78
"819",75.7538480957356,78
"820",73.4166928557876,78
"823",74.3261374982177,78
"824",77.1658072458505,78
"825",74.5268845584906,78
"826",72.8063046554807,78
"828",77.6238648671704,78
"829",78.2381713131826,78
"830",76.6758579891631,78
"831",72.8526361021932,78
"832",77.3087695875938,78
"833",75.4999409830439,78
"834",75.4034390944888,78
"835",74.9768692691745,78
"836",76.3999643723913,78
"838",77.4952581568995,78
"839",77.9575785758603,78
"840",76.8076803639392,78
"842",78.4198238971973,78
"843",81.1814450007128,78
"847",75.9919156132239,78
"848",71.2493470685991,78
"849",76.4993157251479,78
"850",75.4919085743531,77
"851",78.2960057446987,78
"852",79.1965557759641,78
"853",72.8542147590724,78
"854",74.2760602390661,78
"855",73.8957800507737,78
"856",79.3303474153712,78
"857",76.8709249459181,78
"859",77.8688951331984,78
"860",75.4221222514166,78
"861",81.0288375186011,78
"862",75.7642093246841,78
"863",72.9904763550866,78
"865",77.9220498706536,78
"866",77.201857042757,78
"868",80.5101312143962,78
"869",74.5827137568634,79
"871",76.4485815550556,78
"872",80.517052967036,78
"873",78.3033784415173,78
"874",76.9756217063295,78
"876",74.731205514502,78
"877",76.2685386225144,78
"878",78.0326230079201,78
"879",79.5571394106637,78
"880",78.4816117594063,78
"881",78.7184671849805,78
"882",74.9976477036681,78
"883",75.8332280082282,78
"884",74.8390532060862,78
"886",79.9677336331297,78
"887",74.9020030491522,78
"888",76.6580250663503,78
"889",77.9469197680995,78
"891",75.7224628755689,78
"894",74.4419283544247,78
"896",76.2451094586071,78
"898",76.3102184831783,78
"901",75.7317125314079,78
"904",73.7376579400122,78
"905",78.1941143346475,78
"908",77.3738321235276,77
"909",74.2954388279156,77
"912",78.2723466777185,77
"915",76.5805108705369,77
"916",76.6354552134904,77
"917",74.1563371270571,77
"918",79.3783559112478,77
"919",74.323152263531,77
"920",74.3414882605526,77
"921",76.5703973219495,77
"923",77.5191874598389,77
"924",77.5416279758854,77
"926",73.8235179235372,77
"927",71.7781827702278,77
"928",72.2573755665693,77
"929",75.4260596845296,77
"930",75.6874022595739,77
"931",77.5399913710895,77
"932",73.5096126828409,77
"934",76.2471164203781,77
"935",74.4062071669259,78
"937",74.6698559300644,77
"943",71.8205746018523,77
"944",75.1897432094628,77
"947",76.1932591244099,78
"950",79.4781196669288,77
"951",74.3861295020469,77
"952",78.8232515693741,77
"954",74.0721351969158,77
"956",77.6112919216591,77
"958",77.8269726664449,77
"960",76.0365691040856,77
"961",76.6232518170597,77
"962",77.689428869277,77
"963",73.1388385079331,77
"966",75.2701443111447,77
"967",77.1979394043115,77
"968",75.7720298356468,77
"970",74.8216454602201,77
"971",71.5794977761971,77
"973",71.9097156699078,77
"975",76.7442023634467,77
"976",74.1203969959708,77
"977",76.1707526655085,77
"978",77.294841651273,77
"980",71.688778412361,77
"981",77.3195815400905,77
"982",77.3964568687166,77
"984",76.707077843369,77
"985",75.5502898085685,77
"987",76.896323564105,77
"988",76.5337245280112,77
"990",77.1651253992421,77
"993",77.8465702289702,77
"994",74.5293488614417,77
"996",73.8536463358374,77
"997",75.2463701957882,77
"998",75.6163758324462,77
"1000",74.3791015718738,77
"1001",73.49293915232,77
"1005",69.4154750596704,77
"1006",78.6027897699465,77
"1008",77.2175684796074,77
"1009",75.4227820558923,77
"1011",71.7071413225582,77
"1014",74.3778322286949,77
"1016",75.8235459636853,76
"1018",76.168851199646,77
"1019",75.3360934158368,77
"1021",78.615782669488,77
"1022",77.7203471519742,77
"1023",76.5788666993377,77
"1026",76.2503651687945,77
"1027",77.5995769176074,77
"1028",76.1984079294099,77
"1029",78.353623266574,77
"1031",72.5135545155989,77
"1032",75.5135592797683,77
"1033",72.8493490290849,77
"1034",74.0188531273423,77
"1039",77.4826635055621,77
"1042",77.7855364252435,77
"1044",75.815529021552,77
"1045",72.4224116930322,77
"1049",73.5437672172663,77
"1050",79.5134318924301,77
"1051",73.0754958957703,77
"1052",69.6362095242831,77
"1053",77.674318268635,77
"1054",75.5748175250521,77
"1055",73.2898219011225,77
"1056",73.6011923149533,77
"1057",72.8551225569191,77
"1058",73.6558156157956,77
"1059",71.0667968166943,77
"1060",75.5014642164768,77
"1062",75.9302607935265,77
"1064",72.8452618369525,77
"1065",76.3072740265141,77
"1068",77.4623754914704,77
"1069",73.8436012438701,77
"1071",75.2305284545117,77
"1072",74.7630544977682,77
"1075",74.674960501509,77
"1076",77.6055940235407,77
"1077",74.1624223426181,77
"1078",77.7360624284072,77
"1079",75.8709792893451,77
"1081",77.2074593044992,77
"1082",76.4397376939176,77
"1085",77.9310825441759,77
"1086",74.0195192587028,77
"1087",74.4610196501961,77
"1090",75.0822858384991,77
"1092",77.0000520846719,77
"1093",73.8692000030778,77
"1094",76.0760309983958,77
"1098",76.930499742028,77
"1099",74.3103022291944,77
"1100",72.6246428361823,77
"1102",74.4499831817372,77
"1103",72.8295403299227,77
"1106",75.0265318661483,77
"1107",75.0870959653056,77
"1108",72.9505848920045,77
"1109",74.2131906698318,77
"1111",78.697584482915,77
"1112",75.1925134111303,77
"1116",77.8493265443703,77
"1117",74.7016137770847,77
"1118",74.9565560041572,77
"1121",77.7940427803962,77
"1123",76.4729275707474,77
"1125",74.2292847136147,77
"1127",72.7897428813746,77
"1131",73.3814866375514,77
"1134",76.0537640106715,77
"1135",71.6934558964189,77
"1136",76.1273982453474,77
"1137",75.2835501851279,77
"1138",72.807312708109,77
"1139",76.0222086746438,77
"1140",78.6672361338894,77
"1141",75.7867753405343,77
"1142",77.770719499574,77
"1143",75.0667428097557,77
"1144",74.7728535543316,77
"1146",76.7183570712826,77
"1147",73.2843831578763,77
"1149",74.8533254416773,77
"1150",76.8736665685579,77
"1151",75.1013004827367,77
"1152",75.3607467947704,77
"1153",76.9431759681778,77
"1154",79.124215520051,77
"1155",75.9254768222777,77
"1156",74.0438137375438,77
"1158",71.5759176692635,77
"1159",75.4991189007776,77
"1160",76.3280057425994,77
"1163",76.6351149048911,77
"1165",79.3254647804476,77
"1167",72.3836160957674,77
"1168",77.7648179876683,77
"1169",77.1886276245591,77
"1172",74.5178995668275,77
"1173",75.066517119036,77
"1174",77.6083371694146,77
"1175",72.9535996602857,77
"1180",73.5395417106693,77
"1184",75.7594269702521,77
"1185",77.9239227571232,77
"1186",72.3718586713167,77
"1187",80.1017828437742,77
"1188",75.7940073286282,77
"1189",80.1348197496594,77
"1191",78.3950791587083,77
"1192",70.8260646218578,77
"1193",71.6010091157998,77
"1195",78.648303648724,77
"1196",77.8263525574882,77
"1198",75.2047182512281,77
"1200",68.0860050576978,77
"1201",71.6589637553051,77
"1202",77.9940260068304,77
"1205",72.1849001075255,76
"1207",76.4049284180972,76
"1208",77.3908688881645,76
"1210",70.12607347267,76
"1211",74.3348058841812,76
"1212",76.5168543157571,76
"1216",72.0555590680877,76
"1218",75.0839212349876,76
"1222",74.1758294697887,76
"1223",74.7770773041674,76
"1224",76.6361028105595,76
"1226",75.6149400507274,76
"1227",72.3914845709446,76
"1228",74.4614474636546,76
"1229",74.9018755270012,76
"1230",77.8276383601789,76
"1231",75.9705918263992,76
"1232",79.6938278202516,76
"1234",72.679830150768,76
"1235",75.9141658757974,76
"1236",76.7715952744698,76
"1237",77.5404218896501,76
"1238",74.67902714387,76
"1241",71.6909792235431,76
"1242",74.6777622069832,76
"1243",73.6037789129841,76
"1244",74.7825823299132,76
"1246",72.0878911849948,76
"1247",74.3432197352829,76
"1250",73.8980600720138,76
"1255",73.5465612007065,76
"1256",74.044718930121,76
"1259",72.924940170416,76
"1260",76.8652011945601,76
"1261",72.1466163716237,76
"1264",73.7840383727304,76
"1265",76.547124370991,76
"1266",71.7189217575893,76
"1267",73.6235120694653,76
"1268",72.8020552179931,76
"1269",73.9448844386956,76
"1270",73.628776022065,76
"1275",75.3716124358529,76
"1279",70.2986864272774,76
"1281",77.6500194294952,77
"1283",74.4843199564374,76
"1284",75.3362517609818,76
"1286",74.4718269148763,76
"1287",73.7187608379151,76
"1290",68.8165798884188,76
"1293",73.1353354780204,76
"1294",72.0978715881538,76
"1295",75.2464094806781,76
"1298",72.1553937587562,76
"1299",70.973604207717,76
"1300",74.2153876664001,76
"1301",76.9668127940246,76
"1302",74.2194011509102,76
"1303",76.2685048979532,76
"1304",75.9403139029647,76
"1305",73.2856849583158,76
"1306",73.030242023267,76
"1309",77.7153148572132,76
"1311",75.5040725172853,76
"1312",74.3602185866532,76
"1313",74.6745923920532,76
"1314",74.2849693027653,76
"1315",69.5589400108358,76
"1316",72.5331135692523,76
"1317",70.2140336856576,76
"1318",72.4884224576439,76
"1319",75.3067850472835,76
"1321",72.5467768123237,76
"1322",73.4427464456504,76
"1323",76.2191664496785,76
"1324",75.266820229702,76
"1325",76.3492981582375,76
"1326",72.803427350531,76
"1327",75.2530211228921,75
"1328",70.3385810163444,76
"1331",73.6978602579906,76
"1333",76.3297152590703,76
"1334",70.1154027597367,76
"1335",75.3072430121454,76
"1336",73.1394736857783,76
"1337",74.7964791437825,76
"1339",75.6987188277464,76
"1341",68.8534957721989,75
"1342",72.330082633021,76
"1344",74.4576741978591,76
"1345",74.7085997077033,76
"1346",71.4156563026629,76
"1347",78.9683246165028,76
"1348",72.4269443133019,76
"1349",72.8083434320346,76
"1350",76.4390887637024,76
"1353",70.4129299266338,76
"1354",74.3391041138677,76
"1355",72.3640056537589,76
"1356",72.2094377178451,76
"1357",77.4431588910513,76
"1358",72.8231066318882,76
"1359",75.4781974314842,76
"1360",76.1039284911074,76
"1365",73.7910375373479,76
"1367",73.3437245988675,76
"1368",73.0707016302524,76
"1369",73.8189135894264,76
"1372",72.8700275139616,76
"1374",74.9343430143635,76
"1377",73.5091498581325,76
"1378",77.2626539071499,76
"1379",76.0207489695178,75
"1381",76.21734045683,76
"1382",74.3175427442223,76
"1384",76.1658366709599,76
"1385",75.0503454007938,76
"1386",74.3082854373382,76
"1387",74.1424477837222,76
"1388",73.8618203529019,76
"1389",70.8370189226521,76
"1390",75.0668417635268,76
"1391",70.6585034524412,76
"1393",69.0773165567864,76
"1394",75.9809438553346,76
"1395",71.9527219675086,76
"1396",72.3126138570171,76
"1397",71.1461546440999,76
"1400",73.4923450466451,76
"1401",74.6296287982254,76
"1402",75.1479290942913,76
"1403",76.8577046777706,76
"1405",75.579165104071,76
"1406",75.5832161035175,76
"1407",75.5181194615174,76
"1408",73.7368867943111,76
"1410",74.4977561352762,76
"1411",73.3759308908783,76
"1412",77.4547758422619,76
"1416",68.3407613638345,76
"1418",75.5242179836659,76
"1419",74.014042469103,76
"1420",73.4761177297163,76
"1421",76.6380266490598,76
"1422",74.967895888024,76
"1423",72.129548911913,76
"1427",73.822796201285,76
"1429",77.4457775506756,76
"1430",75.0626450322986,76
"1431",74.4827871087086,76
"1432",72.7515882252984,76
"1433",72.808073869763,76
"1434",75.8165137034649,76
"1435",75.5593227515926,76
"1437",74.898912919883,76
"1439",75.1100758937225,76
"1440",72.7748766514361,76
"1442",73.6602660837262,76
"1445",75.7479255233574,76
"1446",75.1830979290923,76
"1447",74.0904305493106,76
"1450",74.743836609639,76
"1451",79.1011648994263,76
"1452",75.5510618526888,76
"1454",75.7108098647215,76
"1459",75.5114945686976,76
"1463",75.6783269976794,76
"1464",72.8007763520012,76
"1465",76.7981568506756,76
"1467",74.1681103575991,76
"1468",71.4489050014719,76
"1469",74.7907953154605,76
"1470",72.1190749808861,76
"1471",75.2652788152663,76
"1472",75.944612769325,76
"1474",75.9795442048875,76
"1478",72.6608681103116,76
"1480",74.9452454534848,76
"1481",75.4971869455225,76
"1483",74.0924770993009,76
"1485",76.1293867339729,76
"1486",74.26962919091,76
"1487",77.5436425084292,76
"1489",77.2403533787548,76
"1490",70.2598899483851,76
"1491",73.7577112814556,76
"1493",76.2131241180064,76
"1494",74.6061616718927,76
"1495",78.0844507789993,76
"1496",72.6065555940828,76
"1497",76.4133502924667,76
"1498",72.1115321013384,76
"1499",72.9773195952932,76
"1500",78.635646837311,76
"1501",73.9187766661644,76
"1503",75.3783249791843,76
"1504",75.106903574068,76
"1505",76.9589435195778,76
"1506",78.3912585715901,76
"1507",76.0118318579488,76
"1508",74.7450558145141,76
"1510",76.3816315319302,76
"1511",75.9920904277953,76
"1512",72.5113868422825,76
"1517",72.7176380062553,76
"1518",76.2831389576555,76
"1519",73.1284224008146,76
"1520",73.6798594655497,76
"1521",71.3025331959552,76
"1523",74.0924774864086,76
"1527",71.9685670526301,76
"1528",71.6545102516755,76
"1529",73.1943090784229,76
"1531",74.1826151615417,75
